Service Name,Physical Address,Physical Suburb,Physical State,Physical Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2023 LGA Name,2023 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude
Leslie Place Aged Persons Hostel,1-3 Eucalyptus Street,KILLARNEY,QLD,4373,Darling Downs,Residential,30,0,0,Killarney Memorial Aged Care Ltd,Community Based,Outer Regional Australia,5,31185,Southern Downs - East,30703,Granite Belt,Southern Downs,36660,PHN304,Darling Downs and West Moreton,-28.343492,152.298304999999
Whiddon Beaudesert Star,14 Brooklands Drive,BEAUDESERT,QLD,4285,Logan River Valley,Residential,102,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,4,31305,Beaudesert,31101,Beaudesert,Scenic Rim,36510,PHN302,Brisbane South,-27.995239,153.020384
Blue Care Kallangur Pilgrim Aged Care Facility,40 Narangba Road,KALLANGUR,QLD,4503,Cabool,Residential,54,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,1,31388,Dakabin - Kallangur,31402,North Lakes,Moreton Bay,35010,PHN301,Brisbane North,-27.251709,152.980292999999
De Paul Villa Aged Care,27 Edmund Rice Drive,ASHMORE,QLD,4214,South Coast,Residential,115,0,0,Ozcare,Charitable,Major Cities of Australia,1,31540,Southport - North,30909,Southport,Gold Coast,33430,PHN303,Gold Coast,-27.97125,153.384507
Churches of Christ Warrawee Aged Care Service,276-296 Alfred Street,ST GEORGE,QLD,4487,South West,Residential,25,0,0,Churches of Christ in Queensland,Religious,Remote Australia,6,31171,Balonne,30701,Darling Downs (West) - Maranoa,Balonne,30300,PHN305,Western Queensland,-28.0513189999999,148.568872999999
Mutkin Residential Aged Care,87 Back Beach Road,YARRABAH,QLD,4871,Far North,Residential,26,0,0,Mutkin Residential and Community Care Indigenous Corporation,Community Based,Outer Regional Australia,5,31163,Yarrabah,30603,Innisfail - Cassowary Coast,Yarrabah,37600,PHN307,Northern Queensland,-16.959992,145.887088
Ozcare Sarina Aged Care,18-32 Hoey Street,SARINA,QLD,4737,Mackay,Residential,48,0,0,Ozcare,Charitable,Outer Regional Australia,5,31352,Sarina,31202,Mackay,Mackay,34770,PHN307,Northern Queensland,-21.4218559999999,149.221298999999
Anglicare SQ Kirami Home for the Aged,12 Banksia Street,POINT VERNON,QLD,4655,Wide Bay,Residential,97,0,0,The Corporation of the Synod of the Diocese of Brisbane,Religious,Inner Regional Australia,2,31519,Point Vernon,31904,Hervey Bay,Fraser Coast,33220,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.2635119999999,152.823973999999
Blue Care Hervey Bay Masters Lodge Aged Care Facility,33 JENSEN Drive,URRAWEEN,QLD,4655,Wide Bay,Residential,60,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Inner Regional Australia,2,31518,Pialba - Eli Waters,31904,Hervey Bay,Fraser Coast,33220,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.303435,152.831572999999
Churches of Christ Gracehaven Aged Care Service,71 Dr Mays Road,BUNDABERG,QLD,4670,Wide Bay,Residential,115,0,0,Churches of Christ in Queensland,Religious,Inner Regional Australia,2,31501,Svensson Heights - Norville,31901,Bundaberg,Bundaberg,31820,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-24.8864079999999,152.330884999999
Voller Care Centre,98 Windsor Road,BURNSIDE,QLD,4560,Sunshine Coast,Residential,50,0,0,Sundale Ltd,Community Based,Major Cities of Australia,1,31548,Nambour,31607,Nambour,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.6336979999999,152.941124
Palmwoods Care Centre,61 Jubilee Drive,PALMWOODS,QLD,4555,Sunshine Coast,Residential,71,0,0,Sundale Ltd,Community Based,Major Cities of Australia,1,31444,Palmwoods,31606,Sunshine Coast Hinterland,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.682265,152.956301999999
Ozcare Caroline Chisholm,28 Saffron Drive,CURRIMUNDI,QLD,4551,Sunshine Coast,Residential,156,0,0,Ozcare,Charitable,Major Cities of Australia,1,31417,Aroona - Currimundi,31602,Caloundra,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.771635,153.114242999999
Ozcare Port Douglas,Martin Scullett Drive,PORT DOUGLAS,QLD,4877,Far North,Residential,74,0,0,Ozcare,Charitable,Outer Regional Australia,5,31165,Port Douglas,30604,Port Douglas - Daintree,Douglas,32810,PHN307,Northern Queensland,-16.5281619999999,145.475287
Bolton Clarke Centaur,21 West Terrace,CALOUNDRA,QLD,4551,Sunshine Coast,Residential,92,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,31419,Caloundra - Kings Beach,31602,Caloundra,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.798299,153.121477999999
Bolton Clarke Galleon Gardens,126-138 Galleon Way,CURRUMBIN WATERS,QLD,4223,South Coast,Residential,126,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,31232,Currumbin Waters,30902,Coolangatta,Gold Coast,33430,PHN303,Gold Coast,-28.152687,153.460417
Nanyima Aged Care,61 Alexandra Street,MIRANI,QLD,4754,Mackay,Residential,50,0,0,Apollo Care Operations Pty Ltd,Private Incorporated Body,Outer Regional Australia,5,31351,Pioneer Valley,31202,Mackay,Mackay,34770,PHN307,Northern Queensland,-21.159322,148.872827999999
Lutheran Services - St Pauls,10 TOMLINSON Road,CABOOLTURE,QLD,4510,Cabool,Residential,61,0,0,Lutheran Church of Australia - Queensland District,Religious,Major Cities of Australia,1,31365,Caboolture,31302,Caboolture,Moreton Bay,35010,PHN301,Brisbane North,-27.068894,152.936047
Nirvana Hostel,Norman Street,CLIFTON,QLD,4361,Darling Downs,Residential,15,0,0,Clifton Co-Op Hospital Ltd,Community Based,Inner Regional Australia,5,31184,Clifton - Greenmount,30703,Granite Belt,Toowoomba,36910,PHN304,Darling Downs and West Moreton,-27.9307909999999,151.908004
Anglicare SQ Meilene Home for the Aged,2 Meilene Street,BUNDABERG CENTRAL,QLD,4670,Wide Bay,Residential,88,0,0,The Corporation of the Synod of the Diocese of Brisbane,Religious,Inner Regional Australia,2,31496,Bundaberg East - Kalkie,31901,Bundaberg,Bundaberg,31820,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-24.851631,152.386173
St Vincent's Care Services Gympie,29 Bligh Street,GYMPIE,QLD,4570,Sunshine Coast,Residential,30,0,0,St Vincent's Care Services Ltd,Religious,Inner Regional Australia,3,31512,Gympie - North,31903,Gympie - Cooloola,Gympie,33620,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.193396,152.665462999999
Carinity Kepnock Grove,28 Jocumsen Street,BUNDABERG,QLD,4670,Wide Bay,Residential,50,0,0,The Baptist Union of Queensland,Religious,Inner Regional Australia,2,31492,Ashfield - Kepnock,31901,Bundaberg,Bundaberg,31820,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-24.874599,152.368266
Ashmore Gardens Care Community,100 Wardoo Street,ASHMORE,QLD,4214,South Coast,Residential,128,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31263,Ashmore,30909,Southport,Gold Coast,33430,PHN303,Gold Coast,-27.9836099999999,153.392180999999
Woodlands Aged Care and NDIS Services,34 Free Street,NEWMARKET,QLD,4051,Brisbane North,Residential,64,0,0,Mellreach Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31127,Newmarket,30503,Brisbane Inner - North,Brisbane,31000,PHN301,Brisbane North,-27.442034,153.003966999999
Caloundra Adventist Retirement Village,64 Sunset Drive,LITTLE MOUNTAIN,QLD,4551,Sunshine Coast,Residential,48,0,0,Seventh-Day Adventist Aged Care (South Queensland) Ltd,Charitable,Major Cities of Australia,1,31420,Caloundra - West,31602,Caloundra,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.780678,153.106557
Southern Cross Care Edens Landing - Connolly Court,20-24 Loane Drive,EDENS LANDING,QLD,4207,Logan River Valley,Residential,64,0,0,Southern Cross Care (QLD) Ltd,Religious,Major Cities of Australia,1,31308,Edens Landing - Holmview,31102,Beenleigh,Logan,34590,PHN302,Brisbane South,-27.699147,153.173244
Lutheran Services - St Andrews,2 Sullivan Road,TALLEBUDGERA,QLD,4228,South Coast,Residential,72,0,0,Lutheran Church of Australia - Queensland District,Religious,Major Cities of Australia,1,31243,Currumbin Valley - Tallebudgera,30905,Mudgeeraba - Tallebudgera,Gold Coast,33430,PHN303,Gold Coast,-28.1209789999999,153.437043999999
Blue Care Carbrook Wirunya Aged Care Facility,559 Beenleigh-Redland Bay Road,CARBROOK,QLD,4130,Logan River Valley,Residential,43,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,1,31324,Cornubia - Carbrook,31105,Loganlea - Carbrook,Logan,34590,PHN302,Brisbane South,-27.681581,153.238970999999
Forest View Aged Persons Home,Morgan Street,CHILDERS,QLD,4660,Wide Bay,Residential,30,0,0,Forest View Childers Inc,Community Based,Inner Regional Australia,5,31499,Bundaberg Region - South,31901,Bundaberg,Bundaberg,31820,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.239553,152.268923
Infinite Care Ashmore,19 Allunga Avenue,ASHMORE,QLD,4214,South Coast,Residential,157,0,0,Shalimah Aust Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31263,Ashmore,30909,Southport,Gold Coast,33430,PHN303,Gold Coast,-27.981933,153.378732
Capricorn Adventist Retirement Village,150 ROCKHAMPTON Road,YEPPOON,QLD,4703,Fitzroy,Residential,66,0,0,Seventh-Day Adventist Aged Care (South Queensland) Ltd,Charitable,Inner Regional Australia,3,31223,Yeppoon,30803,Rockhampton,Livingstone,34530,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-23.13965,150.729342
Carinity Wishart Gardens,14 Glasford Street,WISHART,QLD,4122,Brisbane South,Residential,104,0,0,The Baptist Union of Queensland,Religious,Major Cities of Australia,1,31066,Wishart,30303,Mt Gravatt,Brisbane,31000,PHN302,Brisbane South,-27.545501,153.093678
Bolton Clarke Cazna Gardens,465 Hellawell Road,SUNNYBANK HILLS,QLD,4109,Brisbane South,Residential,132,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,31080,Sunnybank Hills,30306,Sunnybank,Brisbane,31000,PHN302,Brisbane South,-27.5974159999999,153.041606
Regis Home Hill,127 -141 Tenth Avenue,HOME HILL,QLD,4806,Northern,Residential,81,0,0,Regis Aged Care Pty Ltd,Private Incorporated Body,Outer Regional Australia,4,31461,Burdekin,31801,Charters Towers - Ayr - Ingham,Burdekin,31900,PHN307,Northern Queensland,-19.655868,147.413333999999
Bolton Clarke Inverpine,54 OGG Road,MURRUMBA DOWNS,QLD,4503,Cabool,Residential,94,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,31389,Murrumba Downs - Griffin,31402,North Lakes,Moreton Bay,35010,PHN301,Brisbane North,-27.262895,153.010674999999
Blue Care Lowood Glenwood Aged Care Facility,49 Main Street,LOWOOD,QLD,4311,West Moreton,Residential,30,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Inner Regional Australia,5,31281,Lowood,31002,Ipswich Hinterland,Somerset,36580,PHN304,Darling Downs and West Moreton,-27.4595869999999,152.579644
Bolton Clarke Rowes Bay,9 Havana Street,ROWES BAY,QLD,4810,Northern,Residential,102,0,0,RSL Care RDNS Limited,Charitable,Outer Regional Australia,2,31469,Belgian Gardens - Pallarenda,31802,Townsville,Townsville,37010,PHN307,Northern Queensland,-19.237034,146.785649
Southern Cross Care Tara - Tarcoola,2 Sara Street,TARA,QLD,4421,Darling Downs,Residential,30,0,0,Southern Cross Care (QLD) Ltd,Religious,Outer Regional Australia,5,31178,Tara,30701,Darling Downs (West) - Maranoa,Western Downs,37310,PHN304,Darling Downs and West Moreton,-27.271923,150.454438
Bindaree Care Centre,1 Beacon Avenue,BOYNE ISLAND,QLD,4680,Fitzroy,Residential,40,0,0,Sundale Ltd,Community Based,Inner Regional Australia,3,31531,Boyne Island - Tannum Sands,30805,Gladstone,Gladstone,33360,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-23.940655,151.351862
Bolton Clarke Chelsea,110 Tooley Street,MARYBOROUGH,QLD,4650,Wide Bay,Residential,95,0,0,RSL Care RDNS Limited,Charitable,Inner Regional Australia,3,31524,Maryborough (Qld),31905,Maryborough,Fraser Coast,33220,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.5337819999999,152.692793999999
Bolton Clarke Keperra Sanctuary,998 Samford Road,KEPERRA,QLD,4054,Brisbane North,Residential,49,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,31100,Keperra,30404,The Gap - Enoggera,Brisbane,31000,PHN301,Brisbane North,-27.416833,152.954418
Southport Lodge,37 Jimmieson Avenue,SOUTHPORT,QLD,4215,South Coast,Residential,37,0,0,Planlow Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31238,Labrador,30903,Gold Coast - North,Gold Coast,33430,PHN303,Gold Coast,-27.954096,153.395534999999
Hill View House - Ashmore,135 Cotlew Street,ASHMORE,QLD,4214,South Coast,Residential,40,0,0,EAST COAST CARE NO.7 PTY LTD,Private Incorporated Body,Major Cities of Australia,1,31263,Ashmore,30909,Southport,Gold Coast,33430,PHN303,Gold Coast,-27.98621,153.386416999999
Bolton Clarke Cunningham Villas,1 TOLLINGTON ROAD,BOWEN,QLD,4805,Northern,Residential,51,0,0,RSL Care RDNS Limited,Charitable,Outer Regional Australia,4,31337,Bowen,31201,Bowen Basin - North,Whitsunday,37340,PHN307,Northern Queensland,-19.9930589999999,148.242176999999
Lutheran Services - Northridge Salem,44 HOLBERTON Street,ROCKVILLE,QLD,4350,Darling Downs,Residential,42,0,0,Lutheran Church of Australia - Queensland District,Religious,Inner Regional Australia,2,31459,Wilsonton,31701,Toowoomba,Toowoomba,36910,PHN304,Darling Downs and West Moreton,-27.5373899999999,151.937644
Estia Health Mount Coolum,15 Suncoast Beach Drive,MOUNT COOLUM,QLD,4573,Sunshine Coast,Residential,120,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31425,Coolum Beach,31603,Maroochy,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.5671709999999,153.091022
Blue Care Tallebudgera Talleyhaven Aged Care Facility,54 DUDGEON Drive,TALLEBUDGERA,QLD,4228,South Coast,Residential,60,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,1,31243,Currumbin Valley - Tallebudgera,30905,Mudgeeraba - Tallebudgera,Gold Coast,33430,PHN303,Gold Coast,-28.15935,153.431377999999
Kaloma Home for the Aged,16 Gough Street,GOONDIWINDI,QLD,4390,Darling Downs,Residential,69,0,0,Kaloma Home for the Aged Limited,Community Based,Outer Regional Australia,4,31173,Goondiwindi,30701,Darling Downs (West) - Maranoa,Goondiwindi,33610,PHN304,Darling Downs and West Moreton,-28.5356169999999,150.30516
St Vincent's Care Services Southport,32 Bauer Street,SOUTHPORT,QLD,4215,South Coast,Residential,94,0,0,St Vincent's Care Services Ltd,Religious,Major Cities of Australia,1,31541,Southport - South,30909,Southport,Gold Coast,33430,PHN303,Gold Coast,-27.9764489999999,153.414835
Nareeba Moopi Moopi Pa Aged Care Hostel,28 Dickson Way,DUNWICH,QLD,4183,Brisbane South,Residential,16,0,0,North Stradbroke Island Aboriginal & Islanders Housing Co-Operative Society Ltd,Community Based,Remote Australia,6,31527,Redland Islands,30102,Cleveland - Stradbroke,Redland,36250,PHN302,Brisbane South,-27.491858,153.408468999999
Leinster Place,3 Pearce Street,PARK AVENUE,QLD,4701,Fitzroy,Residential,80,0,0,Mercy Health and Aged Care Central Queensland Limited,Religious,Inner Regional Australia,2,31214,Park Avenue,30803,Rockhampton,Rockhampton,36370,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-23.3517739999999,150.521229
Residency by Dillons Tin Can Bay,26 Coral Trout Drive,TIN CAN BAY,QLD,4580,Sunshine Coast,Residential,70,0,0,Jacqueline Elizabeth Dillon Business Pty Ltd,Private Incorporated Body,Inner Regional Australia,5,31511,Cooloola,31903,Gympie - Cooloola,Gympie,33620,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.91996,153.004348999999
Paradise Lakes Care Centre,360 Oxley Drive,RUNAWAY BAY,QLD,4216,South Coast,Residential,48,0,0,Vanguard Care Communities Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31240,Runaway Bay,30903,Gold Coast - North,Gold Coast,33430,PHN303,Gold Coast,-27.9095909999999,153.387929
Regis Maroochydore,33 Allora Drive,MAROOCHYDORE,QLD,4558,Sunshine Coast,Residential,68,0,0,Regis Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31427,Maroochydore - Kuluin,31603,Maroochy,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.66065,153.071098
Arcare Helensvale St James,40-44 Helensvale Road,HELENSVALE,QLD,4212,South Coast,Residential,70,0,0,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31252,Helensvale,30907,Ormeau - Oxenford,Gold Coast,33430,PHN303,Gold Coast,-27.9007609999999,153.319839
Churches of Christ Fair Haven Aged Care Service Hervey Bay,130 Pantlins Lane,URRAWEEN,QLD,4655,Wide Bay,Residential,78,0,0,Churches of Christ in Queensland,Religious,Inner Regional Australia,2,31518,Pialba - Eli Waters,31904,Hervey Bay,Fraser Coast,33220,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.2941439999999,152.813576
Bolton Clarke Westhaven,55 ARABIAN Road,HARRISTOWN,QLD,4350,Darling Downs,Residential,80,0,0,RSL Care RDNS Limited,Charitable,Inner Regional Australia,2,31447,Drayton - Harristown,31701,Toowoomba,Toowoomba,36910,PHN304,Darling Downs and West Moreton,-27.5882809999999,151.923447
Bolton Clarke Baycrest,99 DOOLONG Road,KAWUNGAN,QLD,4655,Wide Bay,Residential,101,0,0,RSL Care RDNS Limited,Charitable,Inner Regional Australia,2,31520,Torquay - Scarness - Kawungan,31904,Hervey Bay,Fraser Coast,33220,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.310357,152.843841999999
Blue Care Maleny Erowal Aged Care Facility,1274 Landsborough-Maleny Road,MALENY,QLD,4552,Sunshine Coast,Residential,82,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Inner Regional Australia,5,31440,Caloundra Hinterland,31606,Sunshine Coast Hinterland,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.7662419999999,152.862325999999
Waroona Multipurpose Centre,72 King Street,CHARLEVILLE,QLD,4470,South West,Residential,45,0,0,Queensland Health,State Government,Very Remote Australia,7,31409,Charleville,31503,Outback - South,Murweh,35600,PHN305,Western Queensland,-26.400983,146.252128999999
Resthaven On Quarry,10 Sands Terrace,NORTH MACKAY,QLD,4740,Mackay,Residential,63,0,0,Apollo Care Operations Pty Ltd,Private Incorporated Body,Inner Regional Australia,2,31349,North Mackay,31202,Mackay,Mackay,34770,PHN307,Northern Queensland,-21.116985,149.181657999999
Milton House,67 -69 Marian Street,MILES,QLD,4415,Darling Downs,Residential,14,0,0,Queensland Health,State Government,Outer Regional Australia,5,31175,Miles - Wandoan,30701,Darling Downs (West) - Maranoa,Western Downs,37310,PHN304,Darling Downs and West Moreton,-26.658086,150.190814999999
Regis Wynnum,261 Preston Road,WYNNUM WEST,QLD,4178,Brisbane South,Residential,98,0,0,Regis Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31021,Wynnum West - Hemmant,30103,Wynnum - Manly,Brisbane,31000,PHN302,Brisbane South,-27.45309,153.162600999999
